Comitente,BROKER,BYMA,Total,FechaCorte
1021,66.13,0.38,66.51,16/07/2026
1026,0.0,3.99,3.99,16/07/2026
1029,192.98,5.21,198.19,16/07/2026
1049,277.25,0.0,277.25,16/07/2026
1065,46.95,0.0,46.95,16/07/2026
1103,0.0,1.56,1.56,16/07/2026
1106,253.34,140.59,393.93,16/07/2026
1131,0.0,0.33,0.33,16/07/2026
1143,0.0,0.33,0.33,16/07/2026
1189,0.0,0.8,0.8,16/07/2026
1198,1583.27,0.0,1583.27,16/07/2026
1207,0.0,0.12,0.12,16/07/2026
1221,220.88,0.0,220.88,16/07/2026
1242,0.0,1.3,1.3,16/07/2026
1252,164.74,0.0,164.74,16/07/2026
1328,0.0,15.79,15.79,16/07/2026
1338,138.95,0.0,138.95,16/07/2026
1358,0.0,0.19,0.19,16/07/2026
1359,0.0,1.4,1.4,16/07/2026
1425,197.45,0.0,197.45,16/07/2026
1436,18013.47,0.0,18013.47,16/07/2026
1442,204.64,0.0,204.64,16/07/2026
1449,0.0,1.02,1.02,16/07/2026
1450,0.0,33.1,33.1,16/07/2026
1502,51.21,0.0,51.21,16/07/2026
1536,1488.35,0.0,1488.35,16/07/2026
1542,210.76,0.0,210.76,16/07/2026
1545,93.45,0.0,93.45,16/07/2026
1546,0.1,0.0,0.1,16/07/2026
1559,88.17,0.0,88.17,16/07/2026
1561,66.71,0.0,66.71,16/07/2026
1570,0.0,0.39,0.39,16/07/2026
1597,0.0,0.35,0.35,16/07/2026
1600,4418.24,0.0,4418.24,16/07/2026
1603,0.0,0.2,0.2,16/07/2026
1612,3.7,0.0,3.7,16/07/2026
1623,61.85,0.0,61.85,16/07/2026
1632,141.97,0.0,141.97,16/07/2026
1642,49.17,0.0,49.17,16/07/2026
1644,0.0,0.04,0.04,16/07/2026
1645,0.0,1.66,1.66,16/07/2026
1664,0.0,0.24,0.24,16/07/2026
1688,0.0,1.83,1.83,16/07/2026
1693,0.0,1.04,1.04,16/07/2026
1709,4.94,0.0,4.94,16/07/2026
1715,0.0,0.29,0.29,16/07/2026
1731,0.0,59.33,59.33,16/07/2026
1770,0.0,0.66,0.66,16/07/2026
1884,0.0,17.56,17.56,16/07/2026
1885,0.0,0.3,0.3,16/07/2026
1935,0.0,0.92,0.92,16/07/2026
1960,0.0,0.18,0.18,16/07/2026
1973,0.0,95.07,95.07,16/07/2026
1975,0.0,0.24,0.24,16/07/2026
1978,0.0,0.57,0.57,16/07/2026
2063,0.0,0.45,0.45,16/07/2026
2064,0.0,0.35,0.35,16/07/2026
2126,0.0,5505.63,5505.63,16/07/2026
2201,0.0,0.44,0.44,16/07/2026
2324,0.0,59.35,59.35,16/07/2026
2353,0.0,1.18,1.18,16/07/2026
2387,0.0,0.04,0.04,16/07/2026
2388,0.0,0.49,0.49,16/07/2026
2409,0.0,0.5,0.5,16/07/2026
2429,0.0,0.83,0.83,16/07/2026
2463,24.83,81.51,106.34,16/07/2026
2468,0.0,2.43,2.43,16/07/2026
2474,0.0,3.04,3.04,16/07/2026
2502,0.0,0.17,0.17,16/07/2026
2527,299.64,0.0,299.64,16/07/2026
2529,0.0,17.62,17.62,16/07/2026
2531,0.0,0.64,0.64,16/07/2026
2542,0.0,0.26,0.26,16/07/2026
2560,0.0,0.72,0.72,16/07/2026
2562,0.0,6.11,6.11,16/07/2026
2564,0.0,0.28,0.28,16/07/2026
2568,0.0,0.37,0.37,16/07/2026
2571,0.0,0.05,0.05,16/07/2026
2582,0.0,0.07,0.07,16/07/2026
2590,0.0,1.02,1.02,16/07/2026
2612,0.0,0.38,0.38,16/07/2026
2626,0.0,0.06,0.06,16/07/2026
2639,0.0,0.56,0.56,16/07/2026
2656,0.0,274.04,274.04,16/07/2026
2658,0.0,1.43,1.43,16/07/2026
2660,0.0,4.3,4.3,16/07/2026
2662,0.0,0.17,0.17,16/07/2026
2690,0.0,0.43,0.43,16/07/2026
2693,0.0,0.7,0.7,16/07/2026
2701,0.0,49.57,49.57,16/07/2026
2711,0.0,1.24,1.24,16/07/2026
2736,0.0,5.43,5.43,16/07/2026
41453,0.0,5.01,5.01,16/07/2026
42766,0.0,0.21,0.21,16/07/2026
